| Method   |       ECE |        ASCE |       MSE |   brier_ref |   skill_score |   accuracy | GASCE                                                                    |
|----------+-----------+-------------+-----------+-------------+---------------+------------+--------------------------------------------------------------------------|
| Uncalib  | 0.441936  | 0.210473    | 0.313896  |     0.11917 |    -1.63402   |   0.414347 | [0.311 0.14  0.125 0.328 0.416 0.235 0.251 0.083 0.257 0.302 0.137 0.267 |
|          |           |             |           |             |               |            |  0.051 0.165 0.26  0.253 0.472 0.238 0.121 0.077 0.206 0.348 0.338 0.222 |
|          |           |             |           |             |               |            |  0.253 0.256]                                                            |
| Platt    | 0.0201133 | 0.000621622 | 0.104294  |     0.11917 |     0.124831  |   0.860734 | [0.013 0.037 0.035 0.016 0.026 0.011 0.009 0.058 0.009 0.01  0.007 0.02  |
|          |           |             |           |             |               |            |  0.092 0.007 0.004 0.004 0.056 0.005 0.026 0.068 0.005 0.024 0.013 0.001 |
|          |           |             |           |             |               |            |  0.002 0.002]                                                            |
| HB       | 0.0107335 | 0.00108697  | 0.104956  |     0.11917 |     0.119278  |   0.860518 | [0.013 0.035 0.034 0.018 0.028 0.007 0.011 0.057 0.01  0.007 0.005 0.021 |
|          |           |             |           |             |               |            |  0.088 0.007 0.003 0.001 0.062 0.002 0.026 0.059 0.004 0.019 0.012 0.002 |
|          |           |             |           |             |               |            |  0.002 0.003]                                                            |
| LR       | 0.03952   | 0.00325813  | 0.0902857 |     0.11917 |     0.242379  |   0.873894 | [0.002 0.013 0.012 0.007 0.006 0.01  0.006 0.024 0.006 0.005 0.006 0.008 |
|          |           |             |           |             |               |            |  0.023 0.008 0.003 0.006 0.007 0.004 0.024 0.005 0.004 0.007 0.003 0.002 |
|          |           |             |           |             |               |            |  0.002 0.002]                                                            |
| LOGR     | 0.120388  | 0.0199329   | 0.120388  |     0.11917 |    -0.0102244 |   0.879612 | [0.    0.062 0.078 0.01  0.009 0.044 0.001 0.078 0.001 0.002 0.019 0.    |
|          |           |             |           |             |               |            |  0.06  0.029 0.009 0.025 0.    0.01  0.03  0.143 0.013 0.002 0.002 0.018 |
|          |           |             |           |             |               |            |  0.023 0.02 ]                                                            |
| IGHB     | 0.246127  | 0.10408     | 0.208232  |     0.11917 |    -0.747353  |   0.701726 | [0.101 0.074 0.068 0.277 0.33  0.15  0.187 0.081 0.226 0.05  0.106 0.22  |
|          |           |             |           |             |               |            |  0.041 0.105 0.053 0.09  0.379 0.091 0.047 0.06  0.085 0.111 0.074 0.105 |
|          |           |             |           |             |               |            |  0.067 0.063]                                                            |
| IGLB     | 0.0434844 | 0.00377105  | 0.101145  |     0.11917 |     0.151257  |   0.870119 | [0.027 0.013 0.026 0.007 0.027 0.031 0.008 0.009 0.015 0.02  0.009 0.019 |
|          |           |             |           |             |               |            |  0.05  0.028 0.02  0.026 0.015 0.026 0.011 0.008 0.016 0.006 0.022 0.002 |
|          |           |             |           |             |               |            |  0.001 0.001]                                                            |
