| Method   |       ECE |        ASCE |       MSE |   brier_ref |   skill_score |   accuracy | GASCE                                                                    |
|----------+-----------+-------------+-----------+-------------+---------------+------------+--------------------------------------------------------------------------|
| Uncalib  | 0.275448  | 0.095799    | 0.136221  |   0.0443324 |    -2.07273   |   0.831068 | [0.099 0.06  0.161 0.098 0.121 0.059 0.107 0.158 0.081 0.06  0.203 0.094 |
|          |           |             |           |             |               |            |  0.063 0.05  0.128 0.085 0.151 0.1   0.089 0.107 0.115 0.091 0.06  0.112 |
|          |           |             |           |             |               |            |  0.114 0.117]                                                            |
| Platt    | 0.0206472 | 0.000749505 | 0.0412547 |   0.0443324 |     0.0694224 |   0.953937 | [0.005 0.007 0.008 0.005 0.007 0.003 0.004 0.007 0.008 0.006 0.014 0.008 |
|          |           |             |           |             |               |            |  0.007 0.004 0.005 0.005 0.012 0.007 0.002 0.003 0.006 0.007 0.005 0.003 |
|          |           |             |           |             |               |            |  0.002 0.003]                                                            |
| HB       | 0.0204639 | 0.000746171 | 0.0412789 |   0.0443324 |     0.0688773 |   0.953937 | [0.003 0.005 0.008 0.003 0.007 0.003 0.004 0.007 0.006 0.004 0.017 0.004 |
|          |           |             |           |             |               |            |  0.005 0.004 0.005 0.004 0.012 0.004 0.003 0.006 0.006 0.003 0.006 0.003 |
|          |           |             |           |             |               |            |  0.002 0.003]                                                            |
| LR       | 0.0376106 | 0.00309334  | 0.0392419 |   0.0443324 |     0.114825  |   0.953506 | [0.002 0.009 0.002 0.002 0.004 0.001 0.008 0.002 0.012 0.01  0.003 0.003 |
|          |           |             |           |             |               |            |  0.004 0.007 0.004 0.005 0.004 0.009 0.004 0.007 0.001 0.005 0.012 0.002 |
|          |           |             |           |             |               |            |  0.003 0.002]                                                            |
| LOGR     | 0.0454153 | 0.00438925  | 0.0454153 |   0.0443324 |    -0.024428  |   0.954585 | [0.004 0.017 0.    0.001 0.    0.001 0.005 0.    0.005 0.011 0.001 0.004 |
|          |           |             |           |             |               |            |  0.009 0.007 0.    0.013 0.    0.001 0.015 0.003 0.001 0.022 0.006 0.001 |
|          |           |             |           |             |               |            |  0.001 0.   ]                                                            |
| IGHB     | 0.253053  | 0.086285    | 0.126613  |   0.0443324 |    -1.856     |   0.831068 | [0.089 0.052 0.139 0.095 0.115 0.054 0.102 0.134 0.078 0.052 0.201 0.089 |
|          |           |             |           |             |               |            |  0.049 0.044 0.118 0.075 0.148 0.088 0.078 0.084 0.105 0.082 0.048 0.1   |
|          |           |             |           |             |               |            |  0.097 0.1  ]                                                            |
| IGLB     | 0.0353236 | 0.00283479  | 0.0397838 |   0.0443324 |     0.102602  |   0.952427 | [0.008 0.006 0.003 0.002 0.006 0.008 0.005 0.004 0.006 0.005 0.007 0.009 |
|          |           |             |           |             |               |            |  0.008 0.007 0.019 0.016 0.006 0.007 0.013 0.009 0.011 0.015 0.005 0.003 |
|          |           |             |           |             |               |            |  0.002 0.002]                                                            |
