| Method   |       ECE |        ASCE |      MSE |   brier_ref |   skill_score |   accuracy | GASCE                                                                    |
|----------+-----------+-------------+----------+-------------+---------------+------------+--------------------------------------------------------------------------|
| Uncalib  | 0.316224  | 0.103593    | 0.33264  |    0.246403 |    -0.349987  |   0.568177 | [0.242 0.018 0.105 0.393 0.437 0.027 0.127 0.018 0.125 0.015 0.232 0.379 |
|          |           |             |          |             |               |            |  0.024 0.227 0.012 0.04  0.768 0.162 0.018 0.026 0.269 0.035 0.018 0.138 |
|          |           |             |          |             |               |            |  0.122 0.149]                                                            |
| Platt    | 0.036343  | 0.00234219  | 0.230575 |    0.246403 |     0.0642334 |   0.616073 | [0.038 0.08  0.012 0.104 0.117 0.03  0.009 0.033 0.019 0.082 0.04  0.106 |
|          |           |             |          |             |               |            |  0.031 0.032 0.081 0.028 0.341 0.022 0.061 0.035 0.064 0.022 0.04  0.006 |
|          |           |             |          |             |               |            |  0.006 0.009]                                                            |
| HB       | 0.0217368 | 0.000986756 | 0.230081 |    0.246403 |     0.0662403 |   0.612298 | [0.036 0.073 0.005 0.101 0.115 0.027 0.008 0.028 0.011 0.086 0.037 0.099 |
|          |           |             |          |             |               |            |  0.027 0.029 0.082 0.024 0.336 0.017 0.061 0.034 0.065 0.021 0.037 0.005 |
|          |           |             |          |             |               |            |  0.004 0.008]                                                            |
| LR       | 0.0350054 | 0.00192233  | 0.171607 |    0.246403 |     0.303551  |   0.744984 | [0.019 0.009 0.016 0.012 0.012 0.016 0.015 0.008 0.011 0.021 0.013 0.006 |
|          |           |             |          |             |               |            |  0.01  0.009 0.01  0.021 0.006 0.016 0.019 0.007 0.016 0.017 0.012 0.002 |
|          |           |             |          |             |               |            |  0.002 0.002]                                                            |
| LOGR     | 0.256095  | 0.0659782   | 0.256095 |    0.246403 |    -0.0393354 |   0.743905 | [0.128 0.026 0.15  0.051 0.054 0.045 0.124 0.042 0.204 0.02  0.118 0.06  |
|          |           |             |          |             |               |            |  0.044 0.079 0.016 0.164 0.    0.143 0.037 0.069 0.151 0.065 0.04  0.07  |
|          |           |             |          |             |               |            |  0.081 0.076]                                                            |
| IGHB     | 0.244358  | 0.0758975   | 0.304847 |    0.246403 |    -0.237191  |   0.571305 | [0.181 0.031 0.07  0.313 0.357 0.031 0.087 0.034 0.103 0.027 0.184 0.278 |
|          |           |             |          |             |               |            |  0.024 0.177 0.027 0.054 0.676 0.114 0.025 0.038 0.218 0.043 0.017 0.097 |
|          |           |             |          |             |               |            |  0.09  0.109]                                                            |
| IGLB     | 0.0412406 | 0.00252954  | 0.191888 |    0.246403 |     0.221243  |   0.715426 | [0.087 0.045 0.018 0.01  0.033 0.029 0.013 0.024 0.05  0.041 0.008 0.009 |
|          |           |             |          |             |               |            |  0.019 0.058 0.05  0.015 0.033 0.021 0.032 0.017 0.094 0.014 0.026 0.002 |
|          |           |             |          |             |               |            |  0.003 0.002]                                                            |
