| Method   |       ECE |       ASCE |      MSE |   brier_ref |   skill_score |   accuracy | GASCE                                                                    |
|----------+-----------+------------+----------+-------------+---------------+------------+--------------------------------------------------------------------------|
| Uncalib  | 0.306382  | 0.106473   | 0.323673 |    0.245882 |    -0.316372  |   0.435831 | [0.324 0.198 0.031 0.064 0.308 0.118 0.105 0.196 0.142 0.144 0.414 0.126 |
|          |           |            |          |             |               |            |  0.071 0.314 0.246 0.221 0.019 0.163 0.158 0.176 0.091 0.088 0.031 0.331 |
|          |           |            |          |             |               |            |  0.101 0.036 0.197 0.083 0.046 0.128 0.038 0.047 0.196 0.126 0.169 0.131 |
|          |           |            |          |             |               |            |  0.194   nan   nan   nan]                                                |
| Platt    | 0.0565105 | 0.00628443 | 0.221276 |    0.245882 |     0.100074  |   0.640984 | [0.085 0.054 0.015 0.022 0.063 0.029 0.016 0.05  0.05  0.054 0.205 0.016 |
|          |           |            |          |             |               |            |  0.022 0.104 0.074 0.044 0.117 0.024 0.081 0.032 0.021 0.022 0.079 0.128 |
|          |           |            |          |             |               |            |  0.023 0.072 0.063 0.017 0.039 0.017 0.113 0.028 0.039 0.025 0.023 0.012 |
|          |           |            |          |             |               |            |  0.022   nan   nan   nan]                                                |
| HB       | 0.0450468 | 0.00294007 | 0.220402 |    0.245882 |     0.10363   |   0.628806 | [0.078 0.033 0.007 0.006 0.057 0.017 0.005 0.037 0.022 0.039 0.196 0.01  |
|          |           |            |          |             |               |            |  0.006 0.102 0.061 0.043 0.106 0.018 0.056 0.027 0.008 0.009 0.082 0.108 |
|          |           |            |          |             |               |            |  0.002 0.067 0.043 0.009 0.031 0.01  0.095 0.015 0.024 0.005 0.02  0.008 |
|          |           |            |          |             |               |            |  0.019   nan   nan   nan]                                                |
| LR       | 0.0620258 | 0.00583531 | 0.202367 |    0.245882 |     0.176978  |   0.694379 | [0.103 0.05  0.022 0.02  0.017 0.05  0.027 0.028 0.059 0.072 0.064 0.055 |
|          |           |            |          |             |               |            |  0.051 0.043 0.067 0.139 0.092 0.026 0.089 0.036 0.032 0.015 0.075 0.051 |
|          |           |            |          |             |               |            |  0.02  0.089 0.033 0.006 0.022 0.023 0.035 0.052 0.053 0.068 0.009 0.007 |
|          |           |            |          |             |               |            |  0.004   nan   nan   nan]                                                |
| LOGR     | 0.304215  | 0.0960451  | 0.304215 |    0.245882 |    -0.23724   |   0.695785 | [0.169 0.045 0.139 0.092 0.023 0.168 0.169 0.119 0.069 0.221 0.078 0.174 |
|          |           |            |          |             |               |            |  0.109 0.095 0.009 0.249 0.126 0.052 0.065 0.145 0.105 0.144 0.123 0.028 |
|          |           |            |          |             |               |            |  0.099 0.156 0.117 0.117 0.095 0.155 0.024 0.225 0.074 0.169 0.108 0.083 |
|          |           |            |          |             |               |            |  0.075   nan   nan   nan]                                                |
| IGHB     | 0.185141  | 0.0491463  | 0.261183 |    0.245882 |    -0.0622254 |   0.584543 | [0.196 0.055 0.027 0.014 0.188 0.064 0.077 0.084 0.119 0.108 0.368 0.069 |
|          |           |            |          |             |               |            |  0.064 0.207 0.099 0.158 0.07  0.103 0.085 0.113 0.049 0.05  0.056 0.229 |
|          |           |            |          |             |               |            |  0.04  0.067 0.121 0.066 0.059 0.048 0.042 0.021 0.073 0.071 0.08  0.066 |
|          |           |            |          |             |               |            |  0.071   nan   nan   nan]                                                |
| IGLB     | 0.0755152 | 0.00749853 | 0.211673 |    0.245882 |     0.139131  |   0.672365 | [0.099 0.048 0.031 0.025 0.049 0.072 0.022 0.031 0.039 0.088 0.222 0.06  |
|          |           |            |          |             |               |            |  0.024 0.078 0.059 0.074 0.159 0.028 0.069 0.064 0.029 0.033 0.014 0.005 |
|          |           |            |          |             |               |            |  0.019 0.097 0.027 0.044 0.019 0.02  0.106 0.079 0.04  0.037 0.016 0.005 |
|          |           |            |          |             |               |            |  0.006   nan   nan   nan]                                                |
