| Method   |       ECE |       ASCE |      MSE |   brier_ref |   skill_score |   accuracy | GASCE                                                                    |
|----------+-----------+------------+----------+-------------+---------------+------------+--------------------------------------------------------------------------|
| Uncalib  | 0.371756  | 0.149505   | 0.36576  |    0.244171 |    -0.497965  |   0.576347 | [0.337 0.178 0.044 0.179 0.32  0.236 0.555 0.244 0.341 0.035 0.508 0.092 |
|          |           |            |          |             |               |            |  0.118 0.042 0.282 0.212 0.024 0.184 0.382 0.354 0.197 0.023 0.136 0.288 |
|          |           |            |          |             |               |            |  0.126 0.113 0.618 0.26  0.073 0.092 0.065 0.034 0.258 0.268 0.236 0.171 |
|          |           |            |          |             |               |            |  0.229   nan   nan   nan]                                                |
| Platt    | 0.0626347 | 0.00545537 | 0.220031 |    0.244171 |     0.0988648 |   0.659016 | [0.078 0.03  0.052 0.039 0.044 0.051 0.208 0.079 0.039 0.029 0.256 0.019 |
|          |           |            |          |             |               |            |  0.044 0.065 0.038 0.027 0.079 0.037 0.133 0.072 0.028 0.029 0.027 0.044 |
|          |           |            |          |             |               |            |  0.019 0.065 0.255 0.053 0.027 0.058 0.025 0.04  0.097 0.152 0.025 0.007 |
|          |           |            |          |             |               |            |  0.016   nan   nan   nan]                                                |
| HB       | 0.0619087 | 0.0045188  | 0.220534 |    0.244171 |     0.0968049 |   0.662998 | [0.059 0.006 0.057 0.029 0.023 0.026 0.202 0.064 0.041 0.015 0.249 0.008 |
|          |           |            |          |             |               |            |  0.022 0.053 0.027 0.01  0.052 0.023 0.135 0.065 0.02  0.026 0.009 0.031 |
|          |           |            |          |             |               |            |  0.009 0.064 0.277 0.044 0.025 0.054 0.025 0.028 0.021 0.168 0.018 0.008 |
|          |           |            |          |             |               |            |  0.012   nan   nan   nan]                                                |
| LR       | 0.0644496 | 0.00601698 | 0.19551  |    0.244171 |     0.19929   |   0.722951 | [0.112 0.051 0.036 0.074 0.049 0.024 0.051 0.095 0.118 0.046 0.024 0.043 |
|          |           |            |          |             |               |            |  0.08  0.036 0.123 0.113 0.023 0.077 0.111 0.171 0.051 0.086 0.039 0.085 |
|          |           |            |          |             |               |            |  0.04  0.068 0.021 0.032 0.044 0.043 0.033 0.016 0.076 0.226 0.008 0.009 |
|          |           |            |          |             |               |            |  0.005   nan   nan   nan]                                                |
| LOGR     | 0.277986  | 0.0775732  | 0.277986 |    0.244171 |    -0.138488  |   0.722014 | [0.199 0.12  0.04  0.188 0.166 0.049 0.138 0.256 0.11  0.038 0.079 0.079 |
|          |           |            |          |             |               |            |  0.067 0.052 0.047 0.2   0.014 0.106 0.128 0.193 0.031 0.017 0.098 0.129 |
|          |           |            |          |             |               |            |  0.091 0.142 0.03  0.148 0.007 0.113 0.025 0.021 0.079 0.292 0.085 0.071 |
|          |           |            |          |             |               |            |  0.101   nan   nan   nan]                                                |
| IGHB     | 0.193501  | 0.0653019  | 0.276748 |    0.244171 |    -0.133418  |   0.614052 | [0.14  0.134 0.033 0.143 0.18  0.119 0.4   0.05  0.253 0.064 0.508 0.024 |
|          |           |            |          |             |               |            |  0.123 0.096 0.179 0.105 0.051 0.132 0.156 0.187 0.12  0.105 0.021 0.191 |
|          |           |            |          |             |               |            |  0.078 0.084 0.241 0.11  0.078 0.088 0.058 0.029 0.182 0.203 0.078 0.08  |
|          |           |            |          |             |               |            |  0.094   nan   nan   nan]                                                |
| IGLB     | 0.0642155 | 0.00758364 | 0.201482 |    0.244171 |     0.174832  |   0.699063 | [0.122 0.043 0.016 0.091 0.036 0.075 0.087 0.065 0.104 0.057 0.211 0.039 |
|          |           |            |          |             |               |            |  0.149 0.081 0.069 0.031 0.043 0.033 0.11  0.132 0.024 0.076 0.035 0.104 |
|          |           |            |          |             |               |            |  0.051 0.16  0.031 0.016 0.029 0.097 0.026 0.025 0.1   0.302 0.009 0.004 |
|          |           |            |          |             |               |            |  0.003   nan   nan   nan]                                                |
