| Method   |       ECE |       ASCE |      MSE |   brier_ref |   skill_score |   accuracy | GASCE                                                                    |
|----------+-----------+------------+----------+-------------+---------------+------------+--------------------------------------------------------------------------|
| Uncalib  | 0.54877   | 0.312603   | 0.46757  |    0.178221 |     -1.62354  |   0.232084 | [0.527 0.51  0.542 0.354 0.511 0.476 0.421 0.452 0.354 0.039 0.594 0.459 |
|          |           |            |          |             |               |            |  0.073 0.554 0.416 0.55  0.067 0.366 0.377 0.461 0.374 0.402 0.05  0.429 |
|          |           |            |          |             |               |            |  0.379 0.008 0.362 0.557 0.427 0.499 0.288 0.276 0.378 0.2   0.544 0.324 |
|          |           |            |          |             |               |            |  0.347   nan   nan   nan]                                                |
| Platt    | 0.0673419 | 0.0082211  | 0.160857 |    0.178221 |      0.097432 |   0.754567 | [0.029 0.057 0.045 0.027 0.02  0.041 0.036 0.044 0.063 0.177 0.2   0.03  |
|          |           |            |          |             |               |            |  0.078 0.039 0.051 0.063 0.146 0.026 0.042 0.029 0.072 0.026 0.587 0.047 |
|          |           |            |          |             |               |            |  0.059 0.242 0.039 0.04  0.071 0.049 0.035 0.074 0.024 0.091 0.043 0.012 |
|          |           |            |          |             |               |            |  0.005   nan   nan   nan]                                                |
| HB       | 0.0336768 | 0.00190843 | 0.158074 |    0.178221 |      0.113045 |   0.763934 | [0.022 0.033 0.03  0.017 0.022 0.058 0.031 0.04  0.052 0.192 0.147 0.022 |
|          |           |            |          |             |               |            |  0.059 0.041 0.015 0.066 0.128 0.015 0.022 0.021 0.037 0.035 0.565 0.028 |
|          |           |            |          |             |               |            |  0.024 0.239 0.011 0.032 0.039 0.034 0.013 0.035 0.023 0.116 0.044 0.006 |
|          |           |            |          |             |               |            |  0.002   nan   nan   nan]                                                |
| LR       | 0.0901874 | 0.0142266  | 0.105355 |    0.178221 |      0.408854 |   0.874239 | [0.01  0.03  0.016 0.043 0.005 0.013 0.016 0.066 0.041 0.039 0.076 0.025 |
|          |           |            |          |             |               |            |  0.054 0.011 0.04  0.045 0.056 0.026 0.035 0.025 0.051 0.028 0.018 0.038 |
|          |           |            |          |             |               |            |  0.047 0.022 0.028 0.03  0.068 0.035 0.025 0.064 0.025 0.146 0.006 0.02  |
|          |           |            |          |             |               |            |  0.012   nan   nan   nan]                                                |
| LOGR     | 0.129977  | 0.0286806  | 0.129977 |    0.178221 |      0.270701 |   0.870023 | [0.    0.003 0.001 0.108 0.    0.024 0.012 0.021 0.002 0.064 0.025 0.033 |
|          |           |            |          |             |               |            |  0.133 0.    0.    0.118 0.08  0.011 0.003 0.018 0.008 0.095 0.011 0.067 |
|          |           |            |          |             |               |            |  0.056 0.083 0.012 0.    0.004 0.014 0.045 0.036 0.031 0.259 0.001 0.018 |
|          |           |            |          |             |               |            |  0.032   nan   nan   nan]                                                |
| IGHB     | 0.235176  | 0.0996715  | 0.22758  |    0.178221 |     -0.276952 |   0.644965 | [0.084 0.046 0.439 0.177 0.49  0.173 0.162 0.291 0.138 0.013 0.594 0.133 |
|          |           |            |          |             |               |            |  0.074 0.484 0.06  0.147 0.028 0.097 0.101 0.02  0.156 0.14  0.071 0.096 |
|          |           |            |          |             |               |            |  0.094 0.008 0.011 0.218 0.162 0.099 0.105 0.015 0.069 0.217 0.035 0.117 |
|          |           |            |          |             |               |            |  0.11    nan   nan   nan]                                                |
| IGLB     | 0.0524356 | 0.0085434  | 0.106684 |    0.178221 |      0.401396 |   0.821077 | [0.015 0.012 0.002 0.073 0.    0.081 0.079 0.043 0.056 0.097 0.078 0.065 |
|          |           |            |          |             |               |            |  0.03  0.007 0.045 0.049 0.103 0.016 0.032 0.027 0.046 0.057 0.024 0.018 |
|          |           |            |          |             |               |            |  0.043 0.107 0.029 0.02  0.069 0.036 0.059 0.08  0.037 0.066 0.002 0.006 |
|          |           |            |          |             |               |            |  0.005   nan   nan   nan]                                                |
