| Method   |       ECE |        ASCE |       MSE |   brier_ref |   skill_score |   accuracy | GASCE                                                                    |
|----------+-----------+-------------+-----------+-------------+---------------+------------+--------------------------------------------------------------------------|
| Uncalib  | 0.51109   | 0.27472     | 0.315926  |   0.0443324 |    -6.1263    |   0.360841 | [0.285 0.222 0.379 0.286 0.321 0.197 0.285 0.377 0.271 0.205 0.319 0.316 |
|          |           |             |           |             |               |            |  0.217 0.197 0.309 0.261 0.347 0.28  0.269 0.294 0.303 0.261 0.214 0.304 |
|          |           |             |           |             |               |            |  0.24  0.3   0.23 ]                                                      |
| Platt    | 0.0204477 | 0.000698526 | 0.0415407 |   0.0443324 |     0.0629705 |   0.953506 | [0.002 0.005 0.009 0.004 0.009 0.004 0.005 0.008 0.008 0.003 0.003 0.004 |
|          |           |             |           |             |               |            |  0.004 0.004 0.004 0.004 0.011 0.003 0.003 0.003 0.005 0.002 0.004 0.002 |
|          |           |             |           |             |               |            |  0.001 0.003 0.002]                                                      |
| HB       | 0.0183549 | 0.00041614  | 0.0415648 |   0.0443324 |     0.0624278 |   0.953506 | [0.003 0.008 0.008 0.002 0.009 0.003 0.003 0.007 0.003 0.002 0.003 0.003 |
|          |           |             |           |             |               |            |  0.004 0.002 0.003 0.003 0.011 0.003 0.002 0.001 0.004 0.003 0.003 0.002 |
|          |           |             |           |             |               |            |  0.    0.002 0.002]                                                      |
| LR       | 0.0307659 | 0.0020937   | 0.0404301 |   0.0443324 |     0.0880231 |   0.953506 | [0.005 0.006 0.002 0.001 0.004 0.002 0.007 0.001 0.003 0.003 0.002 0.    |
|          |           |             |           |             |               |            |  0.004 0.005 0.003 0.004 0.002 0.005 0.002 0.011 0.001 0.005 0.01  0.001 |
|          |           |             |           |             |               |            |  0.004 0.001 0.004]                                                      |
| LOGR     | 0.0481122 | 0.00514504  | 0.0481122 |   0.0443324 |    -0.085261  |   0.951888 | [0.007 0.019 0.    0.001 0.    0.001 0.005 0.    0.02  0.012 0.001 0.002 |
|          |           |             |           |             |               |            |  0.008 0.007 0.    0.01  0.    0.001 0.013 0.003 0.001 0.028 0.007 0.001 |
|          |           |             |           |             |               |            |  0.011 0.001 0.018]                                                      |
| IGHB     | 0.178376  | 0.0763244   | 0.116923  |   0.0443324 |    -1.63742   |   0.902697 | [0.075 0.056 0.07  0.085 0.118 0.091 0.082 0.069 0.1   0.052 0.086 0.107 |
|          |           |             |           |             |               |            |  0.062 0.084 0.072 0.074 0.139 0.059 0.088 0.049 0.094 0.087 0.067 0.072 |
|          |           |             |           |             |               |            |  0.083 0.08  0.074]                                                      |
| IGLB     | 0.0183927 | 0.000633324 | 0.0399086 |   0.0443324 |     0.0997866 |   0.952859 | [0.008 0.004 0.002 0.004 0.009 0.002 0.004 0.002 0.011 0.004 0.004 0.003 |
|          |           |             |           |             |               |            |  0.004 0.006 0.002 0.004 0.002 0.006 0.006 0.009 0.001 0.01  0.009 0.001 |
|          |           |             |           |             |               |            |  0.001 0.001 0.001]                                                      |
