| Method   |       ECE |       ASCE |      MSE |   brier_ref |   skill_score |   accuracy | GASCE                                                                    |
|----------+-----------+------------+----------+-------------+---------------+------------+--------------------------------------------------------------------------|
| Uncalib  | 0.370356  | 0.146518   | 0.374142 |    0.246403 |    -0.518417  |   0.56041  | [0.306 0.024 0.134 0.478 0.535 0.04  0.188 0.031 0.16  0.019 0.283 0.452 |
|          |           |            |          |             |               |            |  0.045 0.312 0.017 0.065 0.862 0.199 0.027 0.068 0.309 0.051 0.035 0.161 |
|          |           |            |          |             |               |            |  0.133 0.187 0.082]                                                      |
| Platt    | 0.0603614 | 0.00603984 | 0.227446 |    0.246403 |     0.0769324 |   0.627832 | [0.045 0.08  0.027 0.098 0.114 0.029 0.022 0.031 0.017 0.073 0.037 0.108 |
|          |           |            |          |             |               |            |  0.033 0.031 0.072 0.023 0.335 0.021 0.07  0.055 0.075 0.019 0.052 0.009 |
|          |           |            |          |             |               |            |  0.009 0.009 0.019]                                                      |
| HB       | 0.0302373 | 0.00181904 | 0.229347 |    0.246403 |     0.0692168 |   0.645415 | [0.036 0.065 0.005 0.1   0.117 0.023 0.012 0.021 0.003 0.062 0.034 0.105 |
|          |           |            |          |             |               |            |  0.026 0.028 0.061 0.017 0.348 0.019 0.053 0.043 0.077 0.014 0.034 0.006 |
|          |           |            |          |             |               |            |  0.003 0.006 0.009]                                                      |
| LR       | 0.034137  | 0.0022879  | 0.175465 |    0.246403 |     0.287893  |   0.739266 | [0.022 0.011 0.016 0.01  0.014 0.016 0.018 0.005 0.032 0.013 0.016 0.011 |
|          |           |            |          |             |               |            |  0.011 0.012 0.009 0.018 0.007 0.029 0.033 0.014 0.013 0.017 0.019 0.003 |
|          |           |            |          |             |               |            |  0.003 0.003 0.002]                                                      |
| LOGR     | 0.263107  | 0.0700143  | 0.263107 |    0.246403 |    -0.0677923 |   0.736893 | [0.095 0.027 0.12  0.051 0.037 0.059 0.123 0.04  0.255 0.021 0.112 0.066 |
|          |           |            |          |             |               |            |  0.043 0.133 0.021 0.172 0.    0.185 0.04  0.083 0.16  0.067 0.043 0.081 |
|          |           |            |          |             |               |            |  0.056 0.075 0.06 ]                                                      |
| IGHB     | 0.247476  | 0.0868749  | 0.310643 |    0.246403 |    -0.260711  |   0.585437 | [0.173 0.041 0.053 0.306 0.374 0.031 0.113 0.019 0.129 0.049 0.182 0.271 |
|          |           |            |          |             |               |            |  0.034 0.219 0.038 0.047 0.694 0.099 0.031 0.094 0.225 0.065 0.031 0.088 |
|          |           |            |          |             |               |            |  0.091 0.094 0.082]                                                      |
| IGLB     | 0.0685059 | 0.00592312 | 0.202232 |    0.246403 |     0.179262  |   0.685437 | [0.027 0.111 0.024 0.014 0.083 0.043 0.015 0.034 0.02  0.097 0.029 0.016 |
|          |           |            |          |             |               |            |  0.032 0.019 0.084 0.033 0.006 0.039 0.064 0.074 0.081 0.04  0.041 0.006 |
|          |           |            |          |             |               |            |  0.011 0.006 0.011]                                                      |
