| Method   |       ECE |        ASCE |       MSE |   brier_ref |   skill_score |   accuracy | GASCE                                                                    |
|----------+-----------+-------------+-----------+-------------+---------------+------------+--------------------------------------------------------------------------|
| Uncalib  | 0.596764  | 0.363548    | 0.466931  |     0.11917 |    -2.91819   |   0.231499 | [0.518 0.247 0.238 0.528 0.558 0.381 0.404 0.188 0.44  0.492 0.276 0.474 |
|          |           |             |           |             |               |            |  0.148 0.294 0.435 0.421 0.668 0.412 0.237 0.171 0.351 0.514 0.516 0.401 |
|          |           |             |           |             |               |            |  0.321 0.376 0.339]                                                      |
| Platt    | 0.0236785 | 0.000823115 | 0.104444  |     0.11917 |     0.123572  |   0.860734 | [0.016 0.044 0.033 0.022 0.02  0.009 0.009 0.068 0.011 0.009 0.009 0.021 |
|          |           |             |           |             |               |            |  0.092 0.006 0.008 0.006 0.057 0.004 0.03  0.071 0.007 0.023 0.014 0.002 |
|          |           |             |           |             |               |            |  0.001 0.001 0.002]                                                      |
| HB       | 0.0186893 | 0.000427646 | 0.104495  |     0.11917 |     0.123145  |   0.861704 | [0.017 0.03  0.025 0.022 0.026 0.004 0.012 0.061 0.009 0.011 0.007 0.025 |
|          |           |             |           |             |               |            |  0.088 0.005 0.005 0.003 0.061 0.001 0.027 0.061 0.005 0.018 0.016 0.001 |
|          |           |             |           |             |               |            |  0.001 0.001 0.001]                                                      |
| LR       | 0.0401888 | 0.00372279  | 0.0927258 |     0.11917 |     0.221903  |   0.869903 | [0.002 0.021 0.013 0.008 0.002 0.005 0.008 0.028 0.004 0.004 0.007 0.005 |
|          |           |             |           |             |               |            |  0.046 0.008 0.003 0.002 0.004 0.005 0.023 0.013 0.002 0.004 0.002 0.003 |
|          |           |             |           |             |               |            |  0.007 0.003 0.007]                                                      |
| LOGR     | 0.122222  | 0.0193438   | 0.122222  |     0.11917 |    -0.0256131 |   0.877778 | [0.    0.077 0.081 0.01  0.009 0.007 0.001 0.082 0.001 0.002 0.017 0.    |
|          |           |             |           |             |               |            |  0.058 0.019 0.01  0.018 0.    0.01  0.048 0.146 0.015 0.002 0.002 0.025 |
|          |           |             |           |             |               |            |  0.015 0.018 0.022]                                                      |
| IGHB     | 0.131904  | 0.0607013   | 0.166101  |     0.11917 |    -0.393813  |   0.749407 | [0.037 0.084 0.074 0.129 0.099 0.131 0.074 0.097 0.129 0.044 0.089 0.112 |
|          |           |             |           |             |               |            |  0.154 0.103 0.031 0.034 0.207 0.039 0.075 0.077 0.059 0.063 0.04  0.034 |
|          |           |             |           |             |               |            |  0.093 0.064 0.058]                                                      |
| IGLB     | 0.0278533 | 0.00109039  | 0.0944311 |     0.11917 |     0.207593  |   0.874218 | [0.007 0.043 0.053 0.027 0.026 0.008 0.013 0.01  0.014 0.008 0.008 0.024 |
|          |           |             |           |             |               |            |  0.007 0.009 0.006 0.006 0.004 0.008 0.035 0.014 0.005 0.009 0.007 0.002 |
|          |           |             |           |             |               |            |  0.003 0.002 0.003]                                                      |
