| Method   |   ECE |   ASCE |   MSE |   brier_ref |   skill_score | GASCE                                                                    |
|----------+-------+--------+-------+-------------+---------------+--------------------------------------------------------------------------|
| Uncalib  | 0.376 |  0.151 | 0.355 |       0.222 |        -0.599 | [0.09  0.065 0.038 0.117 0.089 0.065 0.106 0.034 0.014 0.002 0.061 0.093 |
|          |       |        |       |             |               |  0.098 0.06  0.078 0.077]                                                |
| HB       | 0.036 |  0.003 | 0.209 |       0.222 |         0.059 | [0.001 0.005 0.003 0.003 0.002 0.003 0.003 0.003 0.001 0.    0.002 0.004 |
|          |       |        |       |             |               |  0.003 0.006 0.003 0.002]                                                |
| LR       | 0.053 |  0.005 | 0.205 |       0.222 |         0.077 | [0.002 0.004 0.003 0.004 0.003 0.004 0.007 0.005 0.002 0.    0.002 0.007 |
|          |       |        |       |             |               |  0.006 0.004 0.005 0.002]                                                |
| IGHB     | 0.217 |  0.077 | 0.285 |       0.222 |        -0.284 | [0.044 0.037 0.028 0.053 0.039 0.042 0.054 0.021 0.011 0.001 0.031 0.049 |
|          |       |        |       |             |               |  0.055 0.028 0.048 0.033]                                                |
| IGLB     | 0.101 |  0.033 | 0.243 |       0.222 |        -0.095 | [0.022 0.017 0.038 0.003 0.023 0.016 0.026 0.01  0.007 0.001 0.013 0.026 |
|          |       |        |       |             |               |  0.031 0.012 0.016 0.023]                                                |
